date,ticker,LAST_PRICE,sector
1972-04-26,SPX,106.89,Index
1972-04-27,SPX,107.05,Index
1972-04-28,SPX,107.67,Index
1972-05-01,SPX,106.69,Index
1972-05-02,SPX,106.08,Index
1972-05-03,SPX,105.99,Index
1972-05-04,SPX,106.25,Index
1972-05-05,SPX,106.63,Index
1972-05-08,SPX,106.14,Index
1972-05-09,SPX,104.74,Index
1972-05-10,SPX,105.42,Index
1972-05-11,SPX,105.77,Index
1972-05-12,SPX,106.38,Index
1972-05-15,SPX,106.86,Index
1972-05-16,SPX,106.66,Index
1972-05-17,SPX,106.89,Index
1972-05-18,SPX,107.94,Index
1972-05-19,SPX,108.98,Index
1972-05-22,SPX,109.69,Index
1972-05-23,SPX,109.78,Index
1972-05-24,SPX,110.31,Index
1972-05-25,SPX,110.46,Index
1972-05-26,SPX,110.66,Index
1972-05-30,SPX,110.35,Index
1972-05-31,SPX,109.53,Index
1972-06-01,SPX,109.69,Index
1972-06-02,SPX,109.73,Index
1972-06-05,SPX,108.82,Index
1972-06-06,SPX,108.21,Index
1972-06-07,SPX,107.65,Index
1972-06-08,SPX,107.28,Index
1972-06-09,SPX,106.86,Index
1972-06-12,SPX,107.01,Index
1972-06-13,SPX,107.55,Index
1972-06-14,SPX,108.39,Index
1972-06-15,SPX,108.44,Index
1972-06-16,SPX,108.36,Index
1972-06-19,SPX,108.11,Index
1972-06-20,SPX,108.56,Index
1972-06-21,SPX,108.79,Index
1972-06-22,SPX,108.68,Index
1972-06-23,SPX,108.27,Index
1972-06-26,SPX,107.48,Index
1972-06-27,SPX,107.37,Index
1972-06-28,SPX,107.02,Index
1972-06-29,SPX,106.82,Index
1972-06-30,SPX,107.14,Index
1972-07-03,SPX,107.49,Index
1972-07-05,SPX,108.1,Index
1972-07-06,SPX,109.04,Index
1972-07-07,SPX,108.69,Index
1972-07-10,SPX,108.11,Index
1972-07-11,SPX,107.32,Index
1972-07-12,SPX,106.89,Index
1972-07-13,SPX,106.28,Index
1972-07-14,SPX,106.8,Index
1972-07-17,SPX,105.88,Index
1972-07-18,SPX,105.83,Index
1972-07-19,SPX,106.14,Index
1972-07-20,SPX,105.81,Index
1972-07-21,SPX,106.66,Index
1972-07-24,SPX,107.92,Index
1972-07-25,SPX,107.6,Index
1972-07-26,SPX,107.53,Index
1972-07-27,SPX,107.28,Index
1972-07-28,SPX,107.38,Index
1972-07-31,SPX,107.39,Index
1972-08-01,SPX,108.4,Index
1972-08-02,SPX,109.29,Index
1972-08-03,SPX,110.14,Index
1972-08-04,SPX,110.43,Index
1972-08-07,SPX,110.61,Index
1972-08-08,SPX,110.69,Index
1972-08-09,SPX,110.86,Index
1972-08-10,SPX,111.05,Index
1972-08-11,SPX,111.95,Index
1972-08-14,SPX,112.55,Index
1972-08-15,SPX,112.06,Index
1972-08-16,SPX,111.66,Index
1972-08-17,SPX,111.34,Index
1972-08-18,SPX,111.76,Index
1972-08-21,SPX,111.72,Index
1972-08-22,SPX,112.41,Index
1972-08-23,SPX,112.26,Index
1972-08-24,SPX,111.02,Index
1972-08-25,SPX,110.67,Index
1972-08-28,SPX,110.23,Index
1972-08-29,SPX,110.41,Index
1972-08-30,SPX,110.57,Index
1972-08-31,SPX,111.09,Index
1972-09-01,SPX,111.51,Index
1972-09-05,SPX,111.23,Index
1972-09-06,SPX,110.55,Index
1972-09-07,SPX,110.29,Index
1972-09-08,SPX,110.15,Index
1972-09-11,SPX,109.51,Index
1972-09-12,SPX,108.47,Index
1972-09-13,SPX,108.9,Index
1972-09-14,SPX,108.93,Index
1972-09-15,SPX,108.81,Index
1972-09-18,SPX,108.61,Index
1972-09-19,SPX,108.55,Index
1972-09-20,SPX,108.6,Index
1972-09-21,SPX,108.43,Index
1972-09-22,SPX,108.52,Index
1972-09-25,SPX,108.05,Index
1972-09-26,SPX,108.17,Index
1972-09-27,SPX,109.66,Index
1972-09-28,SPX,110.35,Index
1972-09-29,SPX,110.55,Index
1972-10-02,SPX,110.16,Index
1972-10-03,SPX,110.3,Index
1972-10-04,SPX,110.09,Index
1972-10-05,SPX,108.89,Index
1972-10-06,SPX,109.62,Index
1972-10-09,SPX,109.9,Index
1972-10-10,SPX,109.99,Index
1972-10-11,SPX,109.5,Index
1972-10-12,SPX,108.6,Index
1972-10-13,SPX,107.92,Index
1972-10-16,SPX,106.77,Index
1972-10-17,SPX,107.5,Index
1972-10-18,SPX,108.19,Index
1972-10-19,SPX,108.05,Index
1972-10-20,SPX,109.24,Index
1972-10-23,SPX,110.35,Index
1972-10-24,SPX,110.81,Index
1972-10-25,SPX,110.72,Index
1972-10-26,SPX,110.99,Index
1972-10-27,SPX,110.62,Index
1972-10-30,SPX,110.59,Index
1972-10-31,SPX,111.58,Index
1972-11-01,SPX,112.67,Index
1972-11-02,SPX,113.23,Index
1972-11-03,SPX,114.22,Index
1972-11-06,SPX,113.98,Index
1972-11-08,SPX,113.35,Index
1972-11-09,SPX,113.5,Index
1972-11-10,SPX,113.73,Index
1972-11-13,SPX,113.9,Index
1972-11-14,SPX,114.95,Index
1972-11-15,SPX,114.5,Index
1972-11-16,SPX,115.13,Index
1972-11-17,SPX,115.49,Index
1972-11-20,SPX,115.53,Index
1972-11-21,SPX,116.21,Index
1972-11-22,SPX,116.9,Index
1972-11-24,SPX,117.27,Index
1972-11-27,SPX,116.72,Index
1972-11-28,SPX,116.47,Index
1972-11-29,SPX,116.52,Index
1972-11-30,SPX,116.67,Index
1972-12-01,SPX,117.38,Index
1972-12-04,SPX,117.77,Index
1972-12-05,SPX,117.58,Index
1972-12-06,SPX,118.01,Index
1972-12-07,SPX,118.6,Index
1972-12-08,SPX,118.86,Index
1972-12-11,SPX,119.12,Index
1972-12-12,SPX,118.66,Index
1972-12-13,SPX,118.56,Index
1972-12-14,SPX,118.24,Index
1972-12-15,SPX,118.26,Index
1972-12-18,SPX,116.9,Index
1972-12-19,SPX,116.34,Index
1972-12-20,SPX,115.95,Index
1972-12-21,SPX,115.11,Index
1972-12-22,SPX,115.83,Index
1972-12-26,SPX,116.3,Index
1972-12-27,SPX,116.93,Index
1972-12-29,SPX,118.05,Index
1973-01-02,SPX,119.1,Index
1973-01-03,SPX,119.57,Index
1973-01-04,SPX,119.4,Index
1973-01-05,SPX,119.87,Index
1973-01-08,SPX,119.85,Index
1973-01-09,SPX,119.73,Index
1973-01-10,SPX,119.43,Index
1973-01-11,SPX,120.24,Index
1973-01-12,SPX,119.3,Index
1973-01-15,SPX,118.44,Index
1973-01-16,SPX,118.14,Index
1973-01-17,SPX,118.68,Index
1973-01-18,SPX,118.85,Index
1973-01-19,SPX,118.78,Index
1973-01-22,SPX,118.21,Index
